numero_ordre,cooperative,code_plantation,code_producteur,autres_codes,superficie_cacao_ha,rendement_kg_ha,estimation_kg,variete_cacao,gerant,nom_gerant,latitude,longitude,donnees_polygonales,base_id,Farms_ID
659,A,1030010132-P001,1030010132,,6.1,678.032786885246,4136,Tout Venant,Non,,6.403068,-5.214089,,1030010132,1030010132-P002
690,A,1030010172-P001,1030010172,,2.7,678.1481481481482,1831,Tout Venant,Non,,6.419168,-5.219015,,1030010172,1030010172-P002
694,A,1030010176-P001,1030010176,,2.0,787.5,1575,Tout Venant,Non,,6.422285,-5.21692,,1030010176,1030010176-P002
695,A,1030010177-P001,1030010177,,5.2,678.0769230769231,3526,Tout Venant,Non,,6.39815,-5.2521,,1030010177,1030010177-P002
745,A,1030012152-P001,1030012152,,3.6,678.0555555555555,2441,Tout Venant,Non,,6.412587,-5.227363,,1030012152,1030012152-P002
750,A,1030012157-P001,1030012157,,2.3,677.8260869565217,1559,Tout Venant,Non,,6.408753,-5.224947,,1030012157,1030012157-P002
817,A,1030020237-P001,1030020237,,4.1,678.048780487805,2780,Tout Venant,Non,,6.425184,-5.246257,,1030020237,1030020237-P002
825,A,1030020245-P001,1030020245,,0.9,661.1111111111111,595,Tout Venant,Non,,6.436746,-5.237681,,1030020245,1030020245-P002
827,A,1030020248-P001,1030020248,,6.5,678.0,4407,Tout Venant,Non,,6.413753,-5.248039,,1030020248,1030020248-P002
855,A,1030020277-P001,1030020277,,4.2,678.0952380952381,2848,Tout Venant,Non,,6.413471,-5.253722,,1030020277,1030020277-P002
878,A,1030022548-P001,1030022548,,4.8,677.9166666666667,3254,Tout Venant,Non,,6.432884,-5.245532,,1030022548,1030022548-P002
901,A,1030023316-P001,1030023316,,3.2,678.125,2170,Tout Venant,Non,,6.417064,-5.246118,,1030023316,1030023316-P002
916,A,1030023345-P001,1030023345,,2.2,678.1818181818181,1492,Tout Venant,Non,,6.422333,-5.246956,,1030023345,1030023345-P002
947,A,1030030621-P001,1030030621,,1.8,808.8888888888889,1456,Tout Venant,Non,,6.391699,-5.275871,,1030030621,1030030621-P002
1025,A,1030030723-P001,1030030723,,6.5,678.0,4407,Tout Venant,Non,,6.436147,-5.302337,,1030030723,1030030723-P003
1117,A,1030040494-P001,1030040494,,3.3,677.8787878787879,2237,Tout Venant,Non,,6.395188,-5.186698,,1030040494,1030040494-P002
1126,A,1030040508-P001,1030040508,,3.6,678.0555555555555,2441,Tout Venant,Non,,6.387295,-5.19814,,1030040508,1030040508-P002
1206,A,1030051014-P001,1030051014,,7.6,756.578947368421,5750,Tout Venant,Non,,6.359306,-5.162022,,1030051014,1030051014-P005
1382,A,1030081209-P001,1030081209,,4.0,715.0,2860,Tout Venant,Non,,6.425181,-5.120749,,1030081209,1030081209-P002
1402,A,1030081234-P001,1030081234,,2.9,715.1724137931035,2074,Tout Venant,Non,,6.424861,-5.123422,,1030081234,1030081234-P002
1636,A,1030111543-P001,1030111543,,5.1,678.0392156862746,3458,Tout Venant,Non,,6.289391,-5.117944,,1030111543,1030111543-P002
1721,A,1030122118-P001,1030122118,,3.2,715.0,2288,Tout Venant,Non,,6.368071,-5.141291,,1030122118,1030122118-P002
1989,A,1030221085-P001,1030221085,,1.5,659.3333333333334,989,Tout Venant,Non,,6.448415,-5.216152,,1030221085,1030221085-P002
2105,A,1030252595-P001,1030252595,,5.4,715.0,3861,Tout Venant,Non,,6.268944,-5.116779,,1030252595,1030252595-P002
2265,A,1030291245-P001,1030291245,,1.2,715.0,858,Tout Venant,Non,,6.405986,-5.111275,,1030291245,1030291245-P081
2393,A,1030311866-P001,1030311866,,2.0,678.0,1356,Tout Venant,Non,,6.402335,-5.143333,,1030311866,1030311866-P002
2550,A,1030352363-P001,1030352363,,3.2,715.0,2288,Tout Venant,Non,,6.309503,-5.113187,,1030352363,1030352363-P002
2796,A,10301903958-P001,10301903958,,7.3,698.6301369863014,5100,Tout Venant,Non,,6.611075,-5.32206,,10301903958,10301903958-P002
2881,A,10303503558-P001,10303503558,,4.8,715.0,3432,Tout Venant,Non,,6.314959,-5.13268,,10303503558,10303503558-P002
3287,A,10300704591-P001,10300704591,,2.27,691.1894273127754,1569,Tout Venant,Non,,6.4109756,-5.2052178,,10300704591,10300704591-P002
3402,A,10303204630-P001,10303204630,,0.59,662.7118644067797,391,Tout Venant,Non,,6.463207,-5.1962912,,10303204630,10303204630-P002
3409,A,10303504568-P001,10303504568,,3.46,731.5028901734104,2531,Tout Venant,Non,,6.3011443,-5.1163339,,10303504568,10303504568-P002
3435,A,10304204670-P001,10304204670,,0.85,690.5882352941177,587,Tout Venant,Non,,6.3325339,-5.1626264,,10304204670,10304204670-P002
